system_name,preset,lineage,block,split,status,evidence_type,fairness_status,trust_tier,n_questions,composite_score,public_score,private_score,final_rank,local_counterpart,answer_accuracy,doc_accuracy,page_proximity,runtime_total_seconds,rerank_seconds,avg_score_delta,doc_flip_rate,page_change_rate,answer_change_rate,per_domain_score_delta,config_hash,hardware_tag,artifact_dir,notes,methodology_flags,gpu_memory_snapshots
candidate_hybrid_rrf_v1_fold0,candidate_hybrid_rrf_v1,candidate_hybrid_rrf_v1,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8210210276613807,,,,,0.8767123287671232,0.821917808219178,0.7087416448920975,301.62118697166443,95.96453595161438,-0.009848308954415293,0.0547945205479452,0.0684931506849315,0.0684931506849315,"{""domain_1"": -0.023305084745762712, ""domain_2"": 0.004761904761904758}",6f71efbca75892694f0646e45e30abf3f4d5b6f3c8ac63156bad77598925f5e3,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_hybrid_rrf_v1_fold0,,,[]
candidate_locked_top_doc_v1_50,candidate_locked_top_doc_v1,candidate_locked_top_doc_v1,retrieval_doc_stability,50q,artifact_present,offline_named_preset,fair,trusted_offline,50,0.8672935431386309,,,,,0.9,0.88,0.789174172554524,239.1316204071045,91.7830879688263,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_locked_top_doc_v1_50,,,[]
candidate_locked_top_doc_v1_fold0,candidate_locked_top_doc_v1,candidate_locked_top_doc_v1,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8320108891272116,,,,,0.8493150684931506,0.8767123287671232,0.7527010907554207,300.57553720474243,95.69753766059875,0.0011415525114155248,0.0,0.0273972602739726,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0023809523809523803}",7519304e91e43ea4a2a871161efe540dd878763f3cc8a6f29c19269738bc74e9,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_locked_top_doc_v1_fold0,,,[]
candidate_locked_top_doc_v1_fold1,candidate_locked_top_doc_v1,candidate_locked_top_doc_v1,retrieval_doc_stability,fold1,artifact_present,offline_named_preset,fair,trusted_offline,78,0.8723353995219322,,,,,0.9358974358974359,0.8333333333333334,0.7842133929595229,293.8206572532654,90.91232013702393,0.0005341880341880337,0.0,0.038461538461538464,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0009920634920634911}",c6a7a5a54ded8549168bcc2c09c31cd63155fa160853bf9f8300538cd9609263,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_locked_top_doc_v1_fold1,,,[]
candidate_locked_top_doc_v1_lockbox,candidate_locked_top_doc_v1,candidate_locked_top_doc_v1,retrieval_doc_stability,lockbox,artifact_present,offline_named_preset,fair,trusted_offline,95,0.8873538735452492,,,,,0.8947368421052632,0.9368421052631579,0.8230997047073128,379.4398863315582,123.08727073669434,-0.0003289473684210526,0.0,0.021052631578947368,0.0,"{""domain_1"": 0.0, ""domain_2"": -0.0005580357142857143}",3be56c86f9246e91325eacc37e94bc4e4692c20a6e56cdb6105a610bdb578c07,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_locked_top_doc_v1_lockbox,,,[]
candidate_sc_v3_fold0,candidate_structure_chunks_v3_short_doc,candidate_structure_chunks_v3_short_doc,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8011889713189924,,,,,0.8493150684931506,0.8082191780821918,0.6979065702074755,363.9661343097687,108.34358167648315,-0.029680365296803658,0.0684931506849315,0.0684931506849315,0.0273972602739726,"{""domain_1"": 0.0, ""domain_2"": -0.061904761904761914}",a670295536b0674b168a9efe67982d337ef8b9ed6ebff8fe5da1e46627d102ad,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_sc_v3_fold0,,,[]
candidate_sc_v3_fold0_r2,candidate_structure_chunks_v3_short_doc,candidate_structure_chunks_v3_short_doc,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8194538115016408,,,,,0.8493150684931506,0.8493150684931506,0.7298700405271101,376.2577760219574,138.38629126548767,-0.011415525114155254,0.0273972602739726,0.0273972602739726,0.0136986301369863,"{""domain_1"": 0.0, ""domain_2"": -0.023809523809523815}",c38ca10f4f2aadd1bf9ca9d3b5e95b378658d8f81613a916c813b69252b5b21f,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_sc_v3_fold0_r2,,,[]
candidate_sc_v3_fold0_r3,candidate_structure_chunks_v3_short_doc,candidate_structure_chunks_v3_short_doc,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.830869336615796,,,,,0.8493150684931506,0.8767123287671232,0.7481348807097585,315.90869998931885,96.76961350440979,0.0,0.0,0.0,0.0136986301369863,"{""domain_1"": 0.0, ""domain_2"": 0.0}",a79fb628ff38387fb46ff84b03e621670a714af148cd520f8b0bd4ef82645591,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_sc_v3_fold0_r3,,,[]
candidate_sc_v3_fold1,candidate_structure_chunks_v3_short_doc,candidate_structure_chunks_v3_short_doc,retrieval_doc_stability,fold1,artifact_present,offline_named_preset,fair,trusted_offline,78,0.8718012114877441,,,,,0.9358974358974359,0.8333333333333334,0.7820766408227707,311.04335737228394,91.77509117126465,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",a52f1701d8c47bc5c4052757641df776c73b016b157458d1a8411f4a6ab7dcb4,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_sc_v3_fold1,,,[]
candidate_sc_v3_lockbox,candidate_structure_chunks_v3_short_doc,candidate_structure_chunks_v3_short_doc,retrieval_doc_stability,lockbox,artifact_present,offline_named_preset,fair,trusted_offline,95,0.8827486103873545,,,,,0.8947368421052632,0.9263157894736842,0.8152049678652075,393.04425501823425,122.81981062889099,-0.004934210526315789,0.010526315789473684,0.010526315789473684,0.010526315789473684,"{""domain_1"": 0.0, ""domain_2"": -0.008370535714285714}",badd8be16a402c9d6aab74cbb8ce09aa757c0ab6e59f06ae8f49143c1681fe43,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_sc_v3_lockbox,,,[]
